Date,Open,High,Low,Close,Adj Close,Volume,Log Return
24-04-2020,2417,2420.429932,2382,2410.219971,2410.219971,3831800,0.004478494
23-04-2020,2399.97998,2424.219971,2382.080078,2399.449951,2399.449951,5066600,0.015100188
22-04-2020,2369,2394,2351,2363.48999,2363.48999,4218300,0.015078211
21-04-2020,2416.610107,2428.310059,2279.659912,2328.120117,2328.120117,7476700,-0.027741606
20-04-2020,2389.949951,2444.97998,2386.050049,2393.610107,2393.610107,5770700,0.007805294
17-04-2020,2372.330078,2400,2316.02002,2375,2375,7930000,-0.013877966
16-04-2020,2346,2461,2335,2408.189941,2408.189941,12038200,0.042632742
15-04-2020,2257.679932,2333.370117,2245,2307.679932,2307.679932,6866600,0.010612107
14-04-2020,2200.469971,2292,2186.209961,2283.320068,2283.320068,8087200,0.051424205
13-04-2020,2040,2180,2038,2168.870117,2168.870117,6716700,0.059904509
09-04-2020,2044.300049,2053,2017.660034,2042.76001,2042.76001,4655600,-0.000117476
08-04-2020,2021,2044,2011.150024,2043,2043,3977300,0.015488902
07-04-2020,2017.109985,2035.719971,1997.619995,2011.599976,2011.599976,5114000,0.006988976
06-04-2020,1936,1998.52002,1930.02002,1997.589966,1997.589966,5773200,0.046625149
03-04-2020,1911.150024,1926.329956,1889.150024,1906.589966,1906.589966,3609900,-0.006399314
02-04-2020,1901.640015,1927.530029,1890,1918.829956,1918.829956,4336000,0.0058173
01-04-2020,1932.969971,1944.959961,1893,1907.699951,1907.699951,4121900,-0.021787455
31-03-2020,1964.349976,1993.02002,1944.01001,1949.719971,1949.719971,5123600,-0.007271969
30-03-2020,1922.829956,1973.630005,1912.339966,1963.949951,1963.949951,6126100,0.033051223
27-03-2020,1930.859985,1939.790039,1899.920044,1900.099976,1900.099976,5387900,-0.028734293
26-03-2020,1902,1956.48999,1889.290039,1955.48999,1955.48999,6221300,0.036267469
25-03-2020,1920.689941,1950.26001,1885.780029,1885.839966,1885.839966,6479100,-0.028366179
24-03-2020,1951.5,1955,1900.339966,1940.099976,1940.099976,7147100,0.019397277
23-03-2020,1827.75,1919.400024,1812,1902.829956,1902.829956,7808500,0.030272358
20-03-2020,1926.310059,1957,1820.72998,1846.089966,1846.089966,9817900,-0.018696494
19-03-2020,1860,1945,1832.650024,1880.930054,1880.930054,10399900,0.027450397
18-03-2020,1750,1841.660034,1745,1830,1830,9645200,0.012183223
17-03-2020,1775.469971,1857.780029,1689.23999,1807.839966,1807.839966,10917100,0.067907286
16-03-2020,1641.51001,1759.449951,1626.030029,1689.150024,1689.150024,8917300,-0.055192957
13-03-2020,1755,1786.310059,1680.619995,1785,1785,8809700,0.062644527
12-03-2020,1721.97998,1765,1675,1676.609985,1676.609985,11346200,-0.08253502
11-03-2020,1857.849976,1871.319946,1801.5,1820.859985,1820.859985,5624800,-0.038230391
10-03-2020,1870.880005,1894.27002,1818.170044,1891.819946,1891.819946,7133300,0.049413812
09-03-2020,1773.859985,1862.77002,1761.290039,1800.609985,1800.609985,7813200,-0.0543019
06-03-2020,1875,1910.869995,1869.5,1901.089966,1901.089966,5273600,-0.011994572
05-03-2020,1933,1960.719971,1910,1924.030029,1924.030029,4748200,-0.026566581
04-03-2020,1946.569946,1978,1922,1975.829956,1975.829956,4772900,0.03441424
03-03-2020,1975.369995,1996.329956,1888.089966,1908.98999,1908.98999,7534500,-0.023278639
02-03-2020,1906.48999,1954.51001,1870,1953.949951,1953.949951,6761700,0.036588469
28-02-2020,1814.630005,1889.76001,1811.130005,1883.75,1883.75,9493800,-0.000291954
27-02-2020,1934.380005,1975,1882.76001,1884.300049,1884.300049,8144000,-0.04933331
26-02-2020,1970.280029,2014.670044,1960.449951,1979.589966,1979.589966,5224600,0.003466301
25-02-2020,2026.420044,2034.599976,1958.420044,1972.73999,1972.73999,6219100,-0.018358011
24-02-2020,2003.180054,2039.300049,1987.969971,2009.290039,2009.290039,6547000,-0.042234994
21-02-2020,2142.149902,2144.550049,2088,2095.969971,2095.969971,4646300,-0.02689227
20-02-2020,2173.070068,2176.790039,2127.449951,2153.100098,2153.100098,3131300,-0.007919822
19-02-2020,2167.800049,2185.100098,2161.120117,2170.219971,2170.219971,2561200,0.006726988
18-02-2020,2125.02002,2166.070068,2124.110107,2155.669922,2155.669922,2945600,0.009695734
14-02-2020,2155.679932,2159.040039,2125.889893,2134.870117,2134.870117,2606200,-0.00700162
13-02-2020,2144.98999,2170.280029,2142,2149.870117,2149.870117,3031800,-0.004700792
12-02-2020,2163.199951,2180.25,2155.290039,2160,2160,3334300,0.004268333
11-02-2020,2150.899902,2185.949951,2136,2150.800049,2150.800049,5746000,0.007883952
10-02-2020,2085.01001,2135.600098,2084.959961,2133.909912,2133.909912,5056200,0.025934243
07-02-2020,2041.98999,2098.530029,2038.099976,2079.280029,2079.280029,5095300,0.014069722
06-02-2020,2041.02002,2056.300049,2024.800049,2050.22998,2050.22998,3183000,0.005065894
05-02-2020,2071.02002,2071.02002,2032,2039.869995,2039.869995,4376200,-0.004792689
04-02-2020,2029.880005,2059.800049,2015.369995,2049.669922,2049.669922,5289300,0.022433812
03-02-2020,2010.599976,2048.5,2000.25,2004.199951,2004.199951,5899100,-0.002252735
31-01-2020,2051.469971,2055.719971,2002.27002,2008.719971,2008.719971,15567300,0.071195659
30-01-2020,1858,1872.869995,1850.609985,1870.680054,1870.680054,6327400,0.00680139
29-01-2020,1864,1874.75,1855.02002,1858,1858,2088000,0.002559786
28-01-2020,1840.5,1858.109985,1830.02002,1853.25,1853.25,2808000,0.013532422
27-01-2020,1820,1841,1815.339966,1828.339966,1828.339966,3528500,-0.018049395
24-01-2020,1891.369995,1894.98999,1847.439941,1861.640015,1861.640015,3766200,-0.012247133
23-01-2020,1885.109985,1889.97998,1872.76001,1884.579956,1884.579956,2484600,-0.001527028
22-01-2020,1896.089966,1902.5,1883.339966,1887.459961,1887.459961,3216300,-0.002402481
21-01-2020,1865,1894.27002,1860,1892,1892,3707800,0.014523578
17-01-2020,1885.890015,1886.640015,1857.25,1864.719971,1864.719971,3997300,-0.007064508
16-01-2020,1882.98999,1885.589966,1866.02002,1877.939941,1877.939941,2659500,0.008513469
15-01-2020,1872.25,1878.859985,1855.089966,1862.02002,1862.02002,2896600,-0.003976959
14-01-2020,1885.880005,1887.109985,1858.550049,1869.439941,1869.439941,3440900,-0.01162556
13-01-2020,1891.310059,1898,1880.800049,1891.300049,1891.300049,2780800,0.004313214
10-01-2020,1905.369995,1906.939941,1880,1883.160034,1883.160034,2853700,-0.009455156
09-01-2020,1909.890015,1917.819946,1895.800049,1901.050049,1901.050049,3167300,0.004787792
08-01-2020,1898.040039,1911,1886.439941,1891.969971,1891.969971,3508000,-0.007839303
07-01-2020,1904.5,1913.890015,1892.040039,1906.859985,1906.859985,4044900,0.002089372
06-01-2020,1860,1903.689941,1860,1902.880005,1902.880005,4061800,0.014775887
03-01-2020,1864.5,1886.199951,1864.5,1874.969971,1874.969971,3764400,-0.01221333
02-01-2020,1875,1898.01001,1864.150024,1898.01001,1898.01001,4029000,0.026788603
31-12-2019,1842,1853.26001,1832.22998,1847.839966,1847.839966,2506500,0.000514219
30-12-2019,1874,1884,1840.619995,1846.890015,1846.890015,3674700,-0.012328348
27-12-2019,1882.920044,1901.400024,1866.01001,1869.800049,1869.800049,6186600,0.000551028
26-12-2019,1801.01001,1870.459961,1799.5,1868.77002,1868.77002,6005400,0.043506311
24-12-2019,1793.810059,1795.569946,1787.579956,1789.209961,1789.209961,881300,-0.002116035
23-12-2019,1788.26001,1793,1784.51001,1793,1793,2136400,0.003631796
20-12-2019,1799.619995,1802.969971,1782.449951,1786.5,1786.5,5150800,-0.00323017
19-12-2019,1780.5,1792.98999,1774.060059,1792.280029,1792.280029,2652800,0.004613702
18-12-2019,1795.02002,1798.199951,1782.359985,1784.030029,1784.030029,3351400,-0.00370942
17-12-2019,1778.01001,1792,1777.390015,1790.660034,1790.660034,3644400,0.012051189
16-12-2019,1767,1769.5,1757.050049,1769.209961,1769.209961,3145200,0.004685373
13-12-2019,1765,1768.98999,1755,1760.939941,1760.939941,2745700,0.000346457
12-12-2019,1750,1764,1745.439941,1760.329956,1760.329956,3095900,0.006617191
11-12-2019,1741.670044,1750,1735.709961,1748.719971,1748.719971,2097600,0.00545311
10-12-2019,1747.400024,1750.670044,1735,1739.209961,1739.209961,2514300,-0.00590479
09-12-2019,1750.660034,1766.890015,1745.609985,1749.51001,1749.51001,2442800,-0.001193888
06-12-2019,1751.199951,1754.400024,1740.130005,1751.599976,1751.599976,3117400,0.006368716
05-12-2019,1763.5,1763.5,1740,1740.47998,1740.47998,2823800,-0.011544818
04-12-2019,1774.01001,1789.089966,1760.219971,1760.689941,1760.689941,2670100,-0.005251181
03-12-2019,1760,1772.869995,1747.22998,1769.959961,1769.959961,3380900,-0.006554898
02-12-2019,1804.400024,1805.550049,1762.680054,1781.599976,1781.599976,3925600,-0.010719214
29-11-2019,1817.780029,1824.689941,1800.790039,1800.800049,1800.800049,1923400,-0.009786452
27-11-2019,1801,1824.5,1797.310059,1818.51001,1818.51001,3025600,0.011932305
26-11-2019,1779.920044,1797.030029,1778.349976,1796.939941,1796.939941,3181200,0.012938516
25-11-2019,1753.25,1777.420044,1753.23999,1773.839966,1773.839966,3486200,0.015979608
22-11-2019,1739.02002,1746.430054,1731,1745.719971,1745.719971,2479100,0.006326831
21-11-2019,1743,1746.869995,1730.359985,1734.709961,1734.709961,2662900,-0.006218021
20-11-2019,1749.140015,1762.52002,1734.119995,1745.530029,1745.530029,2790000,-0.004150575
19-11-2019,1756.98999,1760.680054,1743.030029,1752.790039,1752.790039,2270800,0.000148352
18-11-2019,1738.300049,1753.699951,1722.709961,1752.530029,1752.530029,2839500,0.007468514
15-11-2019,1760.050049,1761.680054,1732.859985,1739.48999,1739.48999,3927600,-0.008648936
14-11-2019,1751.430054,1766.589966,1749.560059,1754.599976,1754.599976,2264800,0.000849552
13-11-2019,1773.390015,1775,1747.319946,1753.109985,1753.109985,2989500,-0.014097792
12-11-2019,1774.660034,1786.219971,1771.910034,1778,1778,2037600,0.003577808
11-11-2019,1778,1780,1767.130005,1771.650024,1771.650024,1946000,-0.007999964
08-11-2019,1787.890015,1789.880005,1774.040039,1785.880005,1785.880005,2123300,-0.001298206
07-11-2019,1803.76001,1805.900024,1783.47998,1788.199951,1788.199951,2651100,-0.004224411
06-11-2019,1801,1802.5,1788.579956,1795.77002,1795.77002,2029800,-0.003302282
05-11-2019,1809.160034,1810.25,1794,1801.709961,1801.709961,1885500,-0.001636035
04-11-2019,1801.01001,1815.060059,1801.01001,1804.660034,1804.660034,2771900,0.007352494
01-11-2019,1788.01001,1797.449951,1785.209961,1791.439941,1791.439941,2790400,0.008284516
31-10-2019,1775.98999,1792,1771.47998,1776.660034,1776.660034,2781200,-0.001872524
30-10-2019,1760.23999,1782.380005,1759.119995,1779.98999,1779.98999,2449400,0.009755365
29-10-2019,1774.810059,1777,1755.810059,1762.709961,1762.709961,2276900,-0.008119168
28-10-2019,1748.060059,1778.699951,1742.5,1777.079956,1777.079956,3708900,0.008902363
25-10-2019,1697.550049,1764.209961,1695,1761.329956,1761.329956,9626400,-0.010982306
24-10-2019,1771.089966,1788.339966,1760.27002,1780.780029,1780.780029,4446100,0.010505458
23-10-2019,1761.300049,1770.050049,1742,1762.170044,1762.170044,2138200,-0.002018162
22-10-2019,1788.150024,1789.780029,1762,1765.72998,1765.72998,2111700,-0.011223923
21-10-2019,1769.660034,1785.880005,1765,1785.660034,1785.660034,2130400,0.015890074
18-10-2019,1787.800049,1793.97998,1749.199951,1757.51001,1757.51001,3362500,-0.016908755
17-10-2019,1796.48999,1798.849976,1782.02002,1787.47998,1787.47998,2647400,0.005638264
16-10-2019,1773.329956,1786.23999,1770.52002,1777.430054,1777.430054,2763400,0.005670304
15-10-2019,1742.140015,1776.449951,1740.619995,1767.380005,1767.380005,3111700,0.017666914
14-10-2019,1728.910034,1741.890015,1722,1736.430054,1736.430054,1910200,0.002600667
11-10-2019,1742.920044,1745.449951,1729.859985,1731.920044,1731.920044,3255000,0.006755197
10-10-2019,1725.23999,1738.290039,1713.75,1720.26001,1720.26001,2575200,-0.001005145
09-10-2019,1719.609985,1729.949951,1714.359985,1721.98999,1721.98999,2043500,0.009616401
08-10-2019,1722.48999,1727,1705,1705.51001,1705.51001,2542000,-0.015793627
07-10-2019,1731.630005,1747.829956,1723.699951,1732.660034,1732.660034,2154700,-0.004026138
04-10-2019,1726.02002,1740.579956,1719.22998,1739.650024,1739.650024,2471900,0.00879317
03-10-2019,1713,1725,1685.060059,1724.420044,1724.420044,3468200,0.006510322
02-10-2019,1727.73999,1728.890015,1705,1713.22998,1713.22998,3301100,-0.013001531
01-10-2019,1746,1755.599976,1728.410034,1735.650024,1735.650024,3084500,-0.000149794
30-09-2019,1726.98999,1737.459961,1709.219971,1735.910034,1735.910034,2644700,0.006043934
27-09-2019,1748,1749.119995,1713.819946,1725.449951,1725.449951,3907200,-0.008305278
26-09-2019,1762.790039,1763.369995,1731.5,1739.839966,1739.839966,3536800,-0.016242438
25-09-2019,1747.359985,1773,1723,1768.329956,1768.329956,3493200,0.015225609
24-09-2019,1790.609985,1795.709961,1735.550049,1741.609985,1741.609985,4616000,-0.024776532
23-09-2019,1777,1792.699951,1767.319946,1785.300049,1785.300049,2922300,-0.004950469
